Date,Clicks,Impressions,CTR,Position
2026-06-14,0,252,0%,21.9
2026-06-15,0,263,0%,27.2
2026-06-16,1,455,0.22%,26
2026-06-17,2,604,0.33%,22.3
2026-06-18,0,422,0%,20.1
2026-06-19,0,548,0%,17.4
2026-06-20,2,611,0.33%,20.5
2026-06-21,0,499,0%,20.7
2026-06-22,1,438,0.23%,20.2
2026-06-23,1,654,0.15%,22.9
2026-06-24,0,616,0%,22.8
2026-06-25,0,601,0%,18.5
2026-06-26,4,608,0.66%,17.5
2026-06-27,0,539,0%,16.1
2026-06-28,0,669,0%,14.6
2026-06-29,0,748,0%,14.2
2026-06-30,0,834,0%,16.9
2026-07-01,0,784,0%,16.6
2026-07-02,1,748,0.13%,15.3
2026-07-03,0,614,0%,17.1
2026-07-04,0,695,0%,18.4
2026-07-05,0,815,0%,20
2026-07-06,1,805,0.12%,19.7
2026-07-07,0,816,0%,19.3
2026-07-08,1,801,0.12%,17.7
2026-07-09,0,816,0%,14.7
2026-07-10,0,870,0%,16.4
2026-07-11,1,741,0.13%,15.3