Country,Clicks,Impressions,CTR,Position
United States,14,17503,0.08%,18.39
Argentina,1,14,7.14%,17.21
Brazil,0,39,0%,15.77
India,0,39,0%,43.49
United Kingdom,0,29,0%,21.9
Spain,0,16,0%,18.38
Italy,0,14,0%,13.43
Germany,0,13,0%,19.62
Canada,0,12,0%,11.75
Greece,0,8,0%,25.75
Colombia,0,7,0%,19.57
Vietnam,0,7,0%,20.71
Morocco,0,7,0%,26.43
Pakistan,0,6,0%,14.17
France,0,6,0%,14.5
Turkey,0,6,0%,15.17
Romania,0,6,0%,18
Indonesia,0,6,0%,19.5
South Korea,0,6,0%,26.33
Mexico,0,5,0%,15
Czechia,0,5,0%,25.6
Portugal,0,5,0%,28
Belgium,0,5,0%,29.4
Philippines,0,4,0%,8
Egypt,0,4,0%,13.5
Paraguay,0,4,0%,18
United Arab Emirates,0,4,0%,25.5
South Africa,0,3,0%,6.67
Australia,0,3,0%,7.33
Nigeria,0,3,0%,11
Russia,0,3,0%,11
Thailand,0,3,0%,11
Chile,0,3,0%,11.67
Iraq,0,3,0%,11.67
Croatia,0,3,0%,15.67
Ireland,0,3,0%,19.67
Sweden,0,3,0%,21.67
Bangladesh,0,2,0%,6
Netherlands,0,2,0%,9.5
Mauritius,0,2,0%,11
Nepal,0,2,0%,11
New Zealand,0,2,0%,11.5
Venezuela,0,2,0%,12
Kenya,0,2,0%,13
Uzbekistan,0,2,0%,13
Denmark,0,2,0%,15
Poland,0,2,0%,15.5
Cambodia,0,2,0%,18
Ukraine,0,2,0%,19
Panama,0,2,0%,21
Peru,0,2,0%,22.5
Slovakia,0,2,0%,22.5
Switzerland,0,2,0%,28.5
Hungary,0,2,0%,30.5
Finland,0,2,0%,45.5
Israel,0,1,0%,1
Bulgaria,0,1,0%,2
Zambia,0,1,0%,7
Austria,0,1,0%,8
Nicaragua,0,1,0%,10
Costa Rica,0,1,0%,11
Algeria,0,1,0%,11
Kuwait,0,1,0%,11
Myanmar (Burma),0,1,0%,11
Malaysia,0,1,0%,11
Oman,0,1,0%,11
Serbia,0,1,0%,11
Tunisia,0,1,0%,11
Singapore,0,1,0%,12
Tanzania,0,1,0%,14
Latvia,0,1,0%,21
Dominican Republic,0,1,0%,22
Saudi Arabia,0,1,0%,26
Kazakhstan,0,1,0%,27
Bahrain,0,1,0%,31